subject,version,moral_wrong,moral_will,moralRT,gender,age,politics,race,timestamp,id
A2IZAD6SRVCPRY,experiment3_replication_real,-1,-1,-1,Male,28,-1,White,2021-12-22 14:50:48,846
A150XGQ7KWLBWN,experiment3_replication_real,-1,-1,-1,Female,46,-1,White,2021-12-22 14:50:59,847
A3UC9N3EEE6733,experiment3_replication_real,-1,-1,-1,Male,24,-1,White,2021-12-22 14:51:04,848
A2A6ZWMDAMBO3Q,experiment3_replication_real,-1,-1,-1,Female,46,-1,White,2021-12-22 14:51:35,849
A2J19EIW5MDXE9,experiment3_replication_real,-1,-1,-1,Male,43,-1,White,2021-12-22 14:51:40,850
AIBKZGF8C7APR,experiment3_replication_real,-1,-1,-1,Male,25,-1,White,2021-12-22 14:51:58,851
A2S1lS5 1X1KV,experiment3_replication_real,-1,-1,-1,Female,53,-1,White,2021-12-22 14:52:07,852
AOS2PVHT2HYTL,experiment3_replication_real,-1,-1,-1,Female,67,-1,White,2021-12-22 14:52:15,853
A70L26UXLTGLC,experiment3_replication_real,-1,-1,-1,Male,44,-1,White,2021-12-22 14:52:18,854
A3HVFSD8K94SOR,experiment3_replication_real,-1,-1,-1,Female,54,-1,Black or African American,2021-12-22 14:52:29,855
A2V66KLFVJTLKC,experiment3_replication_real,-1,-1,-1,Female,40,-1,White,2021-12-22 14:52:32,856
AFRKVRPZ2RHY8,experiment3_replication_real,-1,-1,-1,Male,38,-1,White,2021-12-22 14:52:36,857
A2DLYBXZNSSJ4S,experiment3_replication_real,-1,-1,-1,Male,27,-1,White,2021-12-22 14:52:48,858
A2MI6AUNBXGL47,experiment3_replication_real,-1,-1,-1,Male,62,-1,White,2021-12-22 14:52:50,859
A249M2F9FFNIK2,experiment3_replication_real,-1,-1,-1,Male,46,-1,White,2021-12-22 14:52:55,860
A38E1DWG5IF0KL,experiment3_replication_real,-1,-1,-1,Female,20,-1,White,2021-12-22 14:53:09,861
A3HHWIXEB86LL3,experiment3_replication_real,-1,-1,-1,Female,50,-1,White,2021-12-22 14:53:36,862
A198H320N5MSXX,experiment3_replication_real,-1,-1,-1,Female,37,-1,White,2021-12-22 14:53:45,863
AFTFOBESP6XUB,experiment3_replication_real,-1,-1,-1,Male,34,-1,White,2021-12-22 14:53:46,864
A3GCYGO7UPKXO9,experiment3_replication_real,-1,-1,-1,Female,32,-1,White,2021-12-22 14:53:56,865
A1PRD9YPNCBEPB,experiment3_replication_real,-1,-1,-1,Male,30,-1,White,2021-12-22 14:54:06,866
A2IOT3PCS9G5RK,experiment3_replication_real,-1,-1,-1,Male,44,-1,White,2021-12-22 14:54:06,867
A3I5EF53A51KYU,experiment3_replication_real,-1,-1,-1,Female,29,-1,White,2021-12-22 14:55:04,868
A1RF95TSDZDJLL,experiment3_replication_real,-1,-1,-1,Male,24,-1,Black or African American,2021-12-22 14:55:21,869
A13QNZQ6JAI4YJ,experiment3_replication_real,-1,-1,-1,Female,43,-1,White,2021-12-22 14:55:24,870
A3HSE9ADXSVSF8,experiment3_replication_real,-1,-1,-1,Female,73,-1,White,2021-12-22 14:55:29,871
A2YR29YNFLZSUG,experiment3_replication_real,-1,-1,-1,Male,57,-1,White,2021-12-22 14:55:30,872
A2UI8O9F6DRQR1,experiment3_replication_real,-1,-1,-1,Female,34,-1,White,2021-12-22 14:56:01,873
A1FUQIDCR4U4QQ,experiment3_replication_real,-1,-1,-1,Male,53,-1,White,2021-12-22 14:56:12,874
A12RF9L2BN8B5W,experiment3_replication_real,-1,-1,-1,Male,39,-1,White,2021-12-22 14:56:12,875
A39FJ7RWX4B9J,experiment3_replication_real,-1,-1,-1,Female,43,-1,White,2021-12-22 14:56:32,876
AJQGWGESKQT4Y,experiment3_replication_real,-1,-1,-1,Male,45,-1,White,2021-12-22 14:56:42,877
A2KMHUYFMCXRJ9,experiment3_replication_real,-1,-1,-1,Male,39,-1,White,2021-12-22 14:56:55,878
A2BO1Y69XEXKSL,experiment3_replication_real,-1,-1,-1,Female,32,-1,White,2021-12-22 14:56:59,879
A2078XQX9ZSWBC,experiment3_replication_real,-1,-1,-1,Male,42,-1,White,2021-12-22 14:57:00,880
A3R55C67WKDZKO,experiment3_replication_real,-1,-1,-1,Female,64,-1,White,2021-12-22 14:57:19,881
A38IZLCH8VYVFK,experiment3_replication_real,-1,-1,-1,Male,47,-1,White,2021-12-22 14:57:21,882
A3H4B9BMSFGXWG,experiment3_replication_real,-1,-1,-1,Male,42,-1,White,2021-12-22 14:57:55,883
A3GO51V2J3BBCT,experiment3_replication_real,-1,-1,-1,Female,32,-1,White,2021-12-22 14:57:59,884
AVKMFV9CZ0MLR,experiment3_replication_real,-1,-1,-1,Male,71,-1,White,2021-12-22 14:58:15,885
AYXN53TNFG71P,experiment3_replication_real,-1,-1,-1,Female,70,-1,White,2021-12-22 14:58:31,886
A1KZ0KE93WNN5O,experiment3_replication_real,-1,-1,-1,Female,54,-1,White,2021-12-22 14:58:46,887
A2A9FMATFZABXC,experiment3_replication_real,-1,-1,-1,Male,23,-1,Black or African American,2021-12-22 14:58:49,888
A3CFNUD7VR2E1E,experiment3_replication_real,-1,-1,-1,Female,36,-1,White,2021-12-22 14:59:03,889
A11DJHOJ5CEV4A,experiment3_replication_real,-1,-1,-1,Female,35,-1,Black or African American,2021-12-22 14:59:28,890
A203KZ01LO7120,experiment3_replication_real,-1,-1,-1,Male,33,-1,White,2021-12-22 15:00:31,891
A1LR7DP7OLTN22,experiment3_replication_real,-1,-1,-1,Male,41,-1,White,2021-12-22 15:00:58,892
AOJD8D9NXVAR3,experiment3_replication_real,-1,-1,-1,Female,74,-1,White,2021-12-22 15:01:25,893
A15F2JTVAJXITI,experiment3_replication_real,-1,-1,-1,Female,43,-1,White,2021-12-22 15:01:42,894
A2HXAA4WF7IVYG,experiment3_replication_real,-1,-1,-1,Female,36,-1,White,2021-12-22 15:01:46,895
A30AGR5KF8IEL,experiment3_replication_real,-1,-1,-1,Female,53,-1,White,2021-12-22 15:02:08,896
AJ8YRFXUNYNIH,experiment3_replication_real,-1,-1,-1,Female,63,-1,White,2021-12-22 15:02:10,897
A1LRJ2MQD4AMES,experiment3_replication_real,-1,-1,-1,Male,38,-1,White,2021-12-22 15:02:58,898
A1S56RBP0Q3BT,experiment3_replication_real,-1,-1,-1,Male,55,-1,White,2021-12-22 15:03:02,899
A1C8FN01981A69,experiment3_replication_real,-1,-1,-1,Male,40,-1,White,2021-12-22 15:03:09,900
A2BGRGVU9HG0C6,experiment3_replication_real,-1,-1,-1,Male,47,-1,Black or African American,2021-12-22 15:03:40,901
A35TUIBF05DKM4,experiment3_replication_real,-1,-1,-1,Male,29,-1,White,2021-12-22 15:04:06,902
A80X2FTFDSR19,experiment3_replication_real,-1,-1,-1,Female,29,-1,Other,2021-12-22 15:04:16,903
AP9WIQ4P78XLH,experiment3_replication_real,-1,-1,-1,Male,50,-1,White,2021-12-22 15:04:47,904
A36HFMF9Z4BGS8,experiment3_replication_real,-1,-1,-1,Male,58,-1,White,2021-12-22 15:05:10,905
A387QR9H4L2IHO,experiment3_replication_real,-1,-1,-1,Male,43,-1,White,2021-12-22 15:05:43,906
AVBLMDK750VFG,experiment3_replication_real,-1,-1,-1,Female,43,-1,Black or African American,2021-12-22 15:05:52,907
